Account_Length,Area_Code,Phone_Number,International_Plan,Voice_Mail_Plan,Voice_Mail_Messages,Total_Day_Minutes,Total_Day_Calls,Total_Day_Charge,Total_Evening_Minutes,Total_Evening_Calls,Total_Evening_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_International_Minutes,Total_International_Calls,Total_International_Charge,Customer_Service_Calls,Churn,Total_Minutes,Total_Calls,Total_Charges,Avg_Call_Duration,Customer_Service_Category
174,415,3313698,no,no,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,False,667.6,308,60.15,2.1675324675324674,Low
57,408,3573817,no,yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,False,596.3,345,63.24,1.728405797101449,Low
54,408,4186412,no,no,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,False,406.6,245,44.61,1.659591836734694,Low
20,415,3532630,no,no,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,False,636.0,301,64.12,2.1129568106312293,Low
49,510,4107789,no,no,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,524.2,317,49.6,1.6536277602523661,Low
142,415,4168428,no,no,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,False,486.2,312,41.14,1.5583333333333333,Low
75,510,3703359,no,no,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,False,684.1,315,69.42999999999999,2.1717460317460318,Low
172,408,3831121,no,no,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,False,549.1,324,55.28999999999999,1.694753086419753,Low
12,408,3601596,no,no,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,True,794.0,330,79.67999999999999,2.4060606060606062,Low
57,408,3952854,no,yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,False,593.6,289,58.49,2.053979238754325,Low
72,415,3621407,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,False,604.8,259,66.72,2.335135135135135,Low
36,408,3419764,no,yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,452.6,323,48.42,1.4012383900928793,Low
78,415,3533305,no,no,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,False,592.3,293,54.2,2.0215017064846417,Low
136,415,4021381,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,False,503.7,318,58.03,1.5839622641509434,Low
149,408,3329891,no,no,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,False,611.6000000000001,303,58.44,2.018481848184819,Low
98,408,3729976,no,no,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,False,490.3,324,46.64,1.5132716049382717,Low
135,408,3836029,yes,yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,True,513.8000000000001,285,56.199999999999996,1.80280701754386,Low
34,510,3537289,no,no,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,False,728.5,262,61.92999999999999,2.780534351145038,Low
160,415,3907274,no,no,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,False,438.8,283,39.15,1.550530035335689,Low
64,510,3521237,no,no,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,False,648.6,274,58.260000000000005,2.367153284671533,Low
59,408,3533061,no,yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,False,505.5,310,48.3,1.6306451612903226,Low
65,415,3635450,no,no,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,521.8,365,59.36000000000001,1.4295890410958902,Low
142,408,3641995,no,no,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,False,571.2,339,56.129999999999995,1.6849557522123895,Low
119,415,3981294,no,no,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,542.4,325,55.53,1.668923076923077,High
97,415,4057146,no,yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,False,432.0,275,47.25,1.5709090909090908,Low
52,408,4134957,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,False,706.3000000000001,296,68.32,2.386148648648649,Low
60,408,4205645,no,no,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,False,687.5,304,68.49000000000001,2.2615131578947367,Low
10,408,3494396,no,no,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,670.5,241,63.620000000000005,2.7821576763485476,Low
96,415,4043211,no,no,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,False,665.5,257,62.76,2.5894941634241246,Low
87,415,3533759,no,no,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,True,584.3,329,56.14,1.7759878419452886,High
81,408,3635947,no,no,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,False,705.2,253,65.94,2.787351778656127,Low
141,415,3405121,no,no,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,False,455.7,290,45.370000000000005,1.5713793103448275,Low
121,408,3707574,no,yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,True,460.7,286,49.849999999999994,1.6108391608391608,Low
68,415,4039733,no,no,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,537.2,340,55.36,1.58,Low
125,408,3557251,no,no,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,False,608.0,332,65.82,1.8313253012048192,Low
174,408,3595893,no,no,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,False,540.0,249,57.67999999999999,2.1686746987951806,Low
116,415,4053371,no,yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,False,624.7,334,71.42,1.870359281437126,Low
74,510,3445117,no,yes,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,False,592.4,282,64.0,2.100709219858156,Low
149,408,3328160,no,yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,False,646.6,212,62.03,3.0500000000000003,Low
38,408,3594081,no,no,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,False,461.3,307,45.51,1.5026058631921824,Low
40,415,3528305,no,yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,False,537.9,269,50.89000000000001,1.999628252788104,Low
43,415,3299847,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,False,631.4000000000001,280,70.46,2.2550000000000003,Low
113,408,3659011,yes,no,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,False,469.20000000000005,359,46.88,1.3069637883008358,Low
126,408,3389472,no,no,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,False,589.8,211,63.42999999999999,2.7952606635071087,Low
150,510,3748042,no,no,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,True,510.4,314,55.199999999999996,1.6254777070063693,Low
138,408,3591231,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,False,719.4000000000001,287,72.08,2.5066202090592338,Low
162,510,4137170,no,yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,False,679.8000000000001,244,68.96000000000001,2.7860655737704922,Low
147,510,4152935,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,False,578.0,281,64.84,2.0569395017793592,Low
90,415,3994246,no,no,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,False,589.8000000000001,372,62.67999999999999,1.5854838709677421,Low
85,415,3625889,no,no,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,False,593.2,305,65.16000000000001,1.9449180327868854,Low
50,415,3508921,no,no,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,False,567.9,275,55.5,2.065090909090909,Low
82,415,3745353,no,no,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,True,763.1,286,81.75,2.6681818181818184,Low
144,408,3601171,no,no,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,True,319.9,308,27.02,1.0386363636363636,Low
46,415,3558887,no,no,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,False,564.2,292,60.57,1.932191780821918,Low
70,408,3331967,no,no,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,False,569.0,278,56.459999999999994,2.0467625899280577,Low
144,415,3544577,no,no,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,False,741.8000000000001,294,73.63,2.5231292517006807,Low
116,415,3317425,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,False,711.3000000000001,297,69.96,2.394949494949495,Low
55,408,4192637,no,yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,False,488.4,310,50.599999999999994,1.575483870967742,Low
70,415,4111530,no,yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,False,741.7,271,77.16000000000001,2.73690036900369,Low
106,510,3953026,no,no,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,True,663.5999999999999,270,68.94,2.4577777777777774,Low
128,510,3886441,no,yes,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,False,736.8000000000001,275,66.53999999999999,2.6792727272727275,Low
94,408,4021251,no,no,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,True,510.5,295,50.709999999999994,1.730508474576271,Low
111,510,4129997,no,no,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,False,617.2,294,65.6,2.0993197278911566,Low
74,415,3467302,no,yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,False,490.5,254,48.72,1.9311023622047243,Low
128,415,3589095,no,no,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,True,708.3,290,74.64,2.442413793103448,Low
82,510,4009770,no,no,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,False,459.5,262,48.96,1.7538167938931297,Low
155,415,3341275,no,no,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,True,599.2,327,62.03,1.832415902140673,Low
80,415,3404953,no,no,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,False,558.4,278,49.36000000000001,2.0086330935251797,Low
78,415,4009510,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,False,704.7,317,72.60000000000001,2.2230283911671926,Low
90,415,3876103,no,no,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,False,508.0,250,55.26,2.032,Low
104,408,3664467,no,no,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,False,532.4,361,64.21,1.4747922437673129,Low
73,415,3703450,no,no,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,False,560.5,258,56.68999999999999,2.1724806201550386,Low
99,415,3273954,no,no,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,False,605.1,279,62.25,2.1688172043010754,Low
120,408,3556291,no,no,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,True,594.0,336,62.81,1.7678571428571428,Low
77,415,3629748,no,no,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,True,742.5,314,75.32000000000001,2.3646496815286624,Low
98,510,3796506,no,yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,False,578.0,297,57.24,1.9461279461279462,Low
108,415,3477741,no,no,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,False,511.0,320,56.129999999999995,1.596875,Low
135,415,3543783,no,no,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,False,461.2,293,46.85,1.574061433447099,Low
95,408,4017594,no,no,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,False,576.4000000000001,316,52.980000000000004,1.8240506329113928,Low
122,408,3974976,no,no,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,False,604.1,280,57.989999999999995,2.1575,Low
95,408,3342577,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,False,627.0999999999999,282,68.13,2.2237588652482265,Low
36,510,4003637,no,yes,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,False,679.8,297,75.88000000000001,2.2888888888888888,Low
93,510,3834361,no,yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,False,509.2,335,46.42999999999999,1.52,Low
141,415,3714306,no,yes,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,False,509.20000000000005,331,49.0,1.5383685800604232,Low
157,408,4034298,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,False,628.7,326,65.09,1.9285276073619633,Low
120,408,4093786,no,no,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,False,609.7,277,62.61000000000001,2.201083032490975,Low
103,415,3374697,no,no,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,False,643.7,304,63.86,2.1174342105263158,Low
98,408,3831509,no,no,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,False,591.7,347,57.120000000000005,1.7051873198847263,Low
125,408,3599794,no,no,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,False,593.8,319,53.79,1.8614420062695924,Low
63,415,4077035,no,no,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,False,449.3,275,36.48,1.6338181818181818,Low
36,510,3631069,yes,yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,True,610.0,343,66.75,1.7784256559766765,Low
64,510,3914652,no,no,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,False,386.59999999999997,317,47.010000000000005,1.219558359621451,Low
74,415,3556837,no,no,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,True,681.8,281,76.91000000000001,2.4263345195729538,Low
112,510,4091244,no,yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,False,458.79999999999995,320,43.410000000000004,1.4337499999999999,Low
97,408,3283266,no,no,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,False,606.6,322,67.83,1.8838509316770187,Low
46,408,3527072,no,no,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,False,650.7,292,67.59,2.2284246575342466,Low
41,408,3707550,no,yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,False,505.0,314,56.74,1.60828025477707,Low
121,510,3695526,no,no,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,False,604.8,327,60.61,1.8495412844036696,Low
193,415,3294391,no,no,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,False,427.70000000000005,311,48.51,1.3752411575562702,Low
130,510,4084195,no,no,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,False,501.0,339,48.28999999999999,1.4778761061946903,Low
85,408,3544445,no,no,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,False,695.3,265,68.34,2.6237735849056603,Low
162,415,3354858,no,no,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,True,392.1,280,34.84,1.4003571428571429,Low
61,510,4148718,no,yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,True,566.2,362,56.230000000000004,1.5640883977900555,Low
92,408,4095939,no,no,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,False,469.59999999999997,303,42.41,1.5498349834983498,Low
131,408,3314902,no,yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,False,650.0999999999999,338,64.63,1.9233727810650885,Low
90,415,3536870,no,no,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,False,521.0,331,52.78999999999999,1.5740181268882176,Low
75,408,3552909,no,no,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,False,587.3,296,54.92,1.9841216216216215,Low
78,415,3906101,no,no,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,False,732.3,378,73.18,1.937301587301587,Low
82,408,4003446,no,no,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,False,614.7,259,62.34,2.3733590733590737,Low
163,408,4115859,no,no,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,False,615.1,327,62.46,1.881039755351682,Low
91,510,3872919,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,False,561.6,328,50.95,1.7121951219512195,Low
75,415,3748525,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,False,636.1,341,60.49999999999999,1.8653958944281526,High
91,510,3795592,no,no,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,False,620.8,351,64.43,1.7686609686609684,Low
127,510,3458237,no,yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,False,584.5,272,56.790000000000006,2.1488970588235294,Low
113,415,4226690,no,yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,False,525.8,225,57.660000000000004,2.336888888888889,Low
110,510,3462359,no,no,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,False,630.9,314,60.8,2.0092356687898087,Low
120,415,3743534,no,yes,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,False,685.0,285,67.04,2.4035087719298245,Low
157,415,3814756,no,yes,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,False,504.6,325,56.14,1.5526153846153847,Low
103,510,3902805,no,no,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,False,654.2,231,70.71,2.8320346320346323,Low
117,408,3902390,yes,no,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,True,608.1,312,58.53,1.9490384615384617,Low
140,415,4199097,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,False,516.7,299,61.86,1.72809364548495,Low
127,408,3867281,no,no,0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,False,567.3,282,55.09,2.011702127659574,Low
83,408,3803561,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,False,620.6,322,73.16,1.9273291925465839,Low
121,408,3908760,no,no,0,181.5,121,30.86,218.4,98,18.56,161.6,103,7.27,8.5,5,2.3,1,False,570.0,327,58.989999999999995,1.7431192660550459,Low
145,408,3666730,no,yes,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,False,717.8,282,73.5,2.5453900709219854,Low
113,408,3955285,no,no,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,False,598.1000000000001,297,62.38,2.0138047138047144,Low
117,415,3543436,no,no,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1,False,618.6,322,51.239999999999995,1.9211180124223604,Low
65,408,3367600,no,no,0,187.9,116,31.94,157.6,117,13.4,227.3,86,10.23,7.5,6,2.03,1,False,580.3,325,57.60000000000001,1.7855384615384613,Low
56,415,3836293,no,no,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,False,621.9,383,67.72,1.6237597911227153,Low
96,415,3624596,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,False,687.4,252,71.92,2.727777777777778,High
151,408,4013926,no,no,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,False,746.5,359,69.83,2.0793871866295266,Low
83,415,3709116,no,no,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,True,734.4999999999999,357,87.88999999999999,2.057422969187675,Low
139,510,3286289,no,yes,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,False,677.5,339,63.150000000000006,1.9985250737463127,Low
6,510,3509994,no,no,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1,False,629.0999999999999,270,63.82,2.3299999999999996,Low
115,510,3514616,no,yes,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,False,499.90000000000003,371,49.760000000000005,1.3474393530997306,Low
87,415,3605779,no,no,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,False,453.1,311,45.92,1.4569131832797428,Low
141,415,4174885,no,no,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,False,724.1,330,72.09,2.1942424242424243,Low
141,510,4064710,no,yes,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,False,668.9,325,65.57,2.058153846153846,Low
62,415,4098743,no,no,0,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,False,483.1,308,42.26,1.5685064935064936,Low
146,415,3354584,no,no,0,206.3,151,35.07,148.6,89,12.63,167.2,91,7.52,6.1,3,1.65,1,False,528.2,334,56.870000000000005,1.5814371257485031,Low
